"stu_id","name","age","school_name","school_level","grade","district_name","interest_category","growth_stage","fertilizer_count","harvested_fruit_count"
"STU_064","","","","초등학교","1","약사명동","바이오","새싹","6","1"
"STU_065","","","","초등학교","5","퇴계동","바이오","씨앗","10","2"
"STU_066","","","","초등학교","4","퇴계동","바이오","본잎","4","3"
"STU_067","","","","중학교","1","퇴계동","AI","새싹","9","2"
"STU_068","","","","초등학교","4","교동","바이오","본잎","5","3"
"STU_069","","","","고등학교","1","석사동","SW","씨앗","8","0"
"STU_070","","","","고등학교","1","동내면","AI","새싹","0","1"
"STU_071","","","","초등학교","1","강남동","AI","열매","8","0"
"STU_072","","","","초등학교","6","강남동","SW","본잎","5","3"
"STU_073","","","","고등학교","1","근화동","AI","꽃","4","0"
"STU_074","","","","초등학교","1","효자3동","AI","본잎","1","1"
"STU_075","","","","고등학교","3","후평3동","바이오","본잎","6","3"
"STU_076","","","","초등학교","2","소양동","SW","본잎","10","0"
"STU_077","","","","중학교","3","동면","SW","본잎","8","0"
"STU_078","","","","초등학교","4","강남동","바이오","새싹","10","3"
"STU_079","","","","고등학교","2","서면","AI","새싹","2","1"
"STU_080","","","","고등학교","3","동내면","바이오","본잎","0","3"
"STU_081","","","","중학교","1","퇴계동","AI","씨앗","2","0"
"STU_082","","","","고등학교","2","석사동","SW","본잎","7","2"
"STU_083","","","","중학교","2","동면","SW","새싹","9","3"
"STU_084","","","","고등학교","1","동면","AI","새싹","1","2"
"STU_085","","","","중학교","3","석사동","AI","꽃","8","0"
"STU_086","","","","초등학교","1","약사명동","AI","새싹","7","3"
"STU_087","","","","고등학교","2","후평2동","AI","본잎","1","3"
"STU_088","","","","초등학교","2","강남동","바이오","본잎","8","3"
"STU_089","","","","중학교","3","퇴계동","AI","새싹","8","2"
"STU_090","","","","초등학교","5","퇴계동","SW","새싹","3","1"
"STU_091","","","","초등학교","3","퇴계동","바이오","꽃","9","2"
"STU_092","","","","초등학교","3","신사우동","AI","새싹","9","2"
"STU_093","","","","고등학교","3","퇴계동","SW","본잎","7","3"
"STU_094","","","","초등학교","6","후평3동","AI","씨앗","9","1"
"STU_095","","","","초등학교","3","퇴계동","바이오","새싹","9","3"
"STU_096","","","","초등학교","5","동내면","AI","꽃","8","3"
"STU_097","","","","초등학교","6","퇴계동","SW","본잎","4","2"
"STU_098","","","","중학교","1","동면","바이오","본잎","7","0"
"STU_099","","","","고등학교","2","퇴계동","AI","본잎","4","2"
"STU_100","","","","중학교","2","강남동","바이오","열매","10","0"
